SETTLEMENTDATE;PRICE/GIGA_WATT
08/06/2020 02:00;6.654408546
08/06/2020 02:30;6.84118643
08/06/2020 03:00;7.329723827
08/06/2020 03:30;7.215436708
08/06/2020 04:00;6.677483189
08/06/2020 04:30;7.537263933
08/06/2020 05:00;7.719968623
08/06/2020 05:30;7.542162147
08/06/2020 06:00;7.033254694
08/06/2020 06:30;6.421647934
08/06/2020 07:00;6.742623049
08/06/2020 07:30;6.181936797
08/06/2020 08:00;6.089376084
08/06/2020 08:30;6.126164616
08/06/2020 09:00;5.893029637
08/06/2020 09:30;5.885423965
08/06/2020 10:00;5.390389309
08/06/2020 10:30;5.412669041
08/06/2020 11:00;5.115588091
08/06/2020 11:30;5.970562579
08/06/2020 12:00;5.982746568
08/06/2020 12:30;5.85856268
08/06/2020 13:00;6.034635803
08/06/2020 13:30;6.335350452
08/06/2020 14:00;6.250737618
08/06/2020 14:30;6.350453003
08/06/2020 15:00;6.789124883
08/06/2020 15:30;6.465711248
08/06/2020 16:00;7.287830398
08/06/2020 16:30;11.47444323
08/06/2020 17:00;16.43918962
08/06/2020 17:30;21.52220602
08/06/2020 18:00;26.95588473
08/06/2020 18:30;9.532172637
08/06/2020 19:00;9.223213459
08/06/2020 19:30;6.953603645
08/06/2020 20:00;6.572854052
08/06/2020 20:30;6.68010986
08/06/2020 21:00;8.827068962
08/06/2020 21:30;7.547508524
08/06/2020 22:00;6.638245833
08/06/2020 22:30;6.219904623
08/06/2020 23:00;5.570242823
08/06/2020 23:30;6.166774877
09/06/2020 00:00;6.101562287
09/06/2020 00:30;5.631308257
09/06/2020 01:00;6.352393077
09/06/2020 01:30;6.10922059
09/06/2020 02:00;6.524513568
09/06/2020 02:30;6.298823255
09/06/2020 03:00;6.612558636
09/06/2020 03:30;6.286159158
09/06/2020 04:00;6.645581081
09/06/2020 04:30;6.582008369
09/06/2020 05:00;6.810072809
09/06/2020 05:30;6.897467454
09/06/2020 06:00;6.182908684
09/06/2020 06:30;7.364921873
09/06/2020 07:00;11.8807366
09/06/2020 07:30;10.26161659
09/06/2020 08:00;9.914100258
09/06/2020 08:30;17.75128745
09/06/2020 09:00;7.777489645
09/06/2020 09:30;9.007547383
09/06/2020 10:00;6.805057686
09/06/2020 10:30;12.7105137
09/06/2020 11:00;8.453970791
09/06/2020 11:30;7.75397695
09/06/2020 12:00;9.3402996
09/06/2020 12:30;8.334451462
09/06/2020 13:00;7.406144205
09/06/2020 13:30;6.941330232
09/06/2020 14:00;6.594295765
09/06/2020 14:30;7.127109693
09/06/2020 15:00;7.200442665
09/06/2020 15:30;6.48841263
09/06/2020 16:00;6.855457016
09/06/2020 16:30;8.304298455
09/06/2020 17:00;23.14944756
09/06/2020 17:30;8.776814589
09/06/2020 18:00;202.6119785
09/06/2020 18:30;10.23110722
09/06/2020 19:00;5.984758416
09/06/2020 19:30;14.55788194
09/06/2020 20:00;8.223914214
09/06/2020 20:30;6.502069394
09/06/2020 21:00;6.623722915
09/06/2020 21:30;6.154665739
09/06/2020 22:00;5.717287355
09/06/2020 22:30;6.195387521
09/06/2020 23:00;5.57621255
09/06/2020 23:30;5.508343858
10/06/2020 00:00;5.479152227
10/06/2020 00:30;5.585158798
10/06/2020 01:00;5.836706853
10/06/2020 01:30;6.04706738
10/06/2020 02:00;6.124240324
10/06/2020 02:30;6.664372948
10/06/2020 03:00;6.7532626
10/06/2020 03:30;6.871157576
10/06/2020 04:00;6.863064154
10/06/2020 04:30;6.789187534
10/06/2020 05:00;6.240124591
10/06/2020 05:30;6.915595132
